trainFc,NoiseStd,Time,NumSamples,Epochs,HiddenCount,mae,mse,r2,r
traingd,0,0.4814246,189,10,5,0.80105293734323,0.887087777304492,-1.81641300620316,-0.0929191488160181
traingd,0,0.2019348,189,50,5,0.635028362397713,0.592830080426193,-2.14197988013613,0.0122370157000049
traingd,0,0.3422228,189,100,5,0.67452018185756,0.596654427509611,-5.43135832377099,-0.0295901386209483
traingd,0,0.6332154,189,200,5,0.599671391967152,0.470051698946895,-23.1064583908878,0.109830436648794
traingd,0,1.561716,189,1000,5,0.579704975932869,0.457871874883647,-15.6958137755677,0.0954937663224804
traingd,0,0.0738588,189,10,10,1.0276129692509,1.56123420988505,-4.967103323024,0.031449145933506
traingd,0,0.1606602,189,50,10,0.689568417773529,0.698483102224632,-1.77238916895062,0.0818969391404659
traingd,0,0.3540218,189,100,10,0.619649110748555,0.538735894949508,-3.21464477488494,0.0693673368900424
traingd,0,0.7033732,189,200,10,0.610801985854728,0.503216639616268,-8.32122965759502,0.136181475648401
traingd,0,2.2170214,189,1000,10,0.601507839976452,0.470064349609069,-12.2677306887765,0.170111744265204
traingd,0,0.076742,189,10,20,0.863674312164792,1.03130699560905,-1.13168757957319,-0.0561806357143693
traingd,0,0.2266844,189,50,20,0.742638677925371,0.844952983696245,-1.03228676883995,-0.0207888519758039
traingd,0,0.4004964,189,100,20,0.682505531311171,0.692482963124598,-1.65940033803334,0.0961099908182991
traingd,0,0.6471442,189,200,20,0.65441592368859,0.575435692608877,-3.76973435944036,0.133533173750215
traingd,0,3.2805188,189,1000,20,0.502402574519685,0.367607013585795,-2.76750773351328,0.432389853717323
traingd,0,0.0678488,189,10,50,0.92376754116283,1.25230348181028,-0.378350940573951,0.0461507726272795
traingd,0,0.214203,189,50,50,0.834840133219644,0.994797438900128,-0.657677674578446,0.10944365616492
traingd,0,0.3737118,189,100,50,0.699843291707412,0.695579807518823,-0.478621850957838,0.188566551660818
traingd,0,0.469501,189,200,50,0.697254473176003,0.689695270738182,-0.980820489987297,0.171836114361387
traingd,0,3.6188604,189,1000,50,0.40580555553998,0.271678438543588,-0.168815655964397,0.562542618308644
traingd,0,0.066189,189,10,100,1.73538827406633,4.35289147263663,-0.224077646857787,0.039893964390516
traingd,0,0.1766876,189,50,100,0.912438028614269,1.2214722564177,-0.227737541852951,0.0486876876536737
traingd,0,0.4189624,189,100,100,0.812831466416104,1.02673092341308,-0.600826530588006,0.135655297423962
traingd,0,0.5693508,189,200,100,0.855553468897248,1.10090683864412,-0.953466757645147,0.127113489796772
traingd,0,3.3773962,189,1000,100,0.425298972381483,0.306899438669792,0.285305253969102,0.646117629719919
traingd,0,0.060612,189,10,300,10.1570074585662,122.350783160896,-0.157228543603581,0.0372484384166539
traingd,0,0.0524618,189,50,300,11.9882177447271,182.410264588016,-0.944186916459719,-0.0654070428368972
traingd,0,0.0521656,189,100,300,3.26367670536896,15.4831540748549,-0.0793289078200847,0.004642647335431
traingd,0,0.0489052,189,200,300,12.3110462553618,202.403548569957,-0.826575709054998,-0.0356104570932038
traingd,0,0.0489384,189,1000,300,13.6837892474495,221.538992778214,-0.0560841803073631,0.131816523157375
traingd,0,0.0577626,315,10,5,0.728550279445113,0.750967736711241,-3.09610916335879,0.0744241862058564
traingd,0,0.177597,315,50,5,0.633027163578823,0.562821003050271,-2.49285005024437,0.0599887125514799
traingd,0,0.2908666,315,100,5,0.60792047717622,0.4747925163871,-21.9073245404831,0.0568990721697717
traingd,0,0.660384,315,200,5,0.609081237695665,0.480030729366913,-25.9307941728104,0.0935400674516945
traingd,0,2.923054,315,1000,5,0.580827571160624,0.453841992068806,-12.229422213814,0.204477388994115
traingd,0,0.0609386,315,10,10,0.794490539181594,0.945931989317167,-1.24423552581325,0.05860823915974
traingd,0,0.2021102,315,50,10,0.700778855796675,0.707466669757329,-2.3857457272312,-0.0301470897609454
traingd,0,0.344419,315,100,10,0.669402545973612,0.663640349441406,-1.77149594958911,0.0571520775122232
traingd,0,0.6773816,315,200,10,0.651604519522265,0.558303949899449,-2.85691159550193,0.0793182267556694
traingd,0,2.5302686,315,1000,10,0.590294709698906,0.449391261361792,-16.6298522930196,0.190246725756015
traingd,0,0.0625254,315,10,20,0.952880297431175,1.42188814816993,-0.697135631647342,0.0249462943316627
traingd,0,0.191526,315,50,20,0.726724180424799,0.755891763705971,-0.738687879007967,0.0952342242274757
traingd,0,0.3411058,315,100,20,0.696430898590084,0.750315634440189,-1.08592497694019,0.115184365014114
traingd,0,0.6104636,315,200,20,0.612729795219707,0.544861739528804,-1.32775605129759,0.148264401362087
traingd,0,3.2743116,315,1000,20,0.510255186456403,0.387982191822274,-2.96679921237745,0.447065323173448
traingd,0,0.061274,315,10,50,0.857845916440611,1.06543017300294,-1.2002453107253,-0.0160515003045639
traingd,0,0.185655,315,50,50,0.795819795350621,1.0141459970076,-0.491151085584982,0.0693396628302832
traingd,0,0.3717942,315,100,50,0.902343347122351,1.24689293505785,-0.643568259039581,0.145046202442093
traingd,0,0.6991752,315,200,50,0.627427382201507,0.611825906282028,-0.350947675059111,0.24504054018982
traingd,0,3.7632936,315,1000,50,0.472605249265711,0.339547778828865,-0.607219778362364,0.609640901991509
traingd,0,0.1158514,315,10,100,1.43135747102775,3.23038684374895,-0.0987440230275494,0.069932068568649
traingd,0,0.4496354,315,50,100,0.965892992660553,1.74902380976873,-0.188961684049002,0.120473441739959
traingd,0,0.370407,315,100,100,0.786710255072121,0.921849923969747,-0.172235938847113,0.128362886333885
traingd,0,1.1242468,315,200,100,0.741536393397779,0.877884681899549,-0.594778976126395,0.245289663412923
traingd,0,3.1176764,315,1000,100,0.43749506375838,0.306045773873975,0.272904106778359,0.669030759813642
traingd,0,0.0500564,315,10,300,5.33522200549581,45.2754800452818,-1.34366263782669,0.00217413090750563
traingd,0,0.0490466,315,50,300,10.2746076884302,159.51542786023,-0.645956195768396,0.0212604538784609
traingd,0,0.0484172,315,100,300,3.05391724719237,15.2252540500876,-0.0825860936813607,-0.0291726847470916
traingd,0,0.0467682,315,200,300,5.08095669436638,36.9201395826765,-0.0610501116648139,-0.0100965725865776
traingd,0,0.0505094,315,1000,300,7.71886688579124,75.2873608461549,-3.1871267564382,0.105602293010021
traingd,0,0.0609016,943,10,5,1.33219186427048,2.53416282086436,-2.58720432059262,2.05358073404716e-05
traingd,0,0.1875438,943,50,5,0.625157313608589,0.497444217999071,-10.887751301226,0.0821794059371787
traingd,0,0.3372862,943,100,5,0.625891654623946,0.511196912847158,-15.4930862376167,0.0503061328608592
traingd,0,0.672159,943,200,5,0.60943523892425,0.469941894633836,-32.1066659470564,0.0998571262830276
traingd,0,3.7885444,943,1000,5,0.589459507140874,0.452913981192727,-24.6580530713952,0.201611983280967
traingd,0,0.062655,943,10,10,1.12826611173764,1.88475716764944,-0.330353240289594,2.04432017398004e-06
traingd,0,0.2067102,943,50,10,0.717502970390703,0.785871971651728,-1.68516976252758,0.0147862272641047
traingd,0,0.7429822,943,100,10,0.631643845466676,0.566100528969959,-2.3097965212168,0.0989085923197623
traingd,0,0.7940222,943,200,10,0.596182455904561,0.503646788486713,-3.55365730816801,0.134707417667706
traingd,0,3.3769856,943,1000,10,0.586590316533206,0.456857133658675,-7.01120216627046,0.204711538988791
traingd,0,0.0545674,943,10,20,0.677872777712703,0.657114687163841,-1.51244277073538,0.0751298594124345
traingd,0,0.1671622,943,50,20,0.743420774759286,0.82690671370855,-0.764508812967805,0.0376347518266013
traingd,0,0.3766686,943,100,20,0.69845674128104,0.667723688105355,-3.07403911201268,0.0976361842977706
traingd,0,1.0218956,943,200,20,0.667291489446536,0.619255128955503,-2.93843723590491,0.105458203397095
traingd,0,3.728811,943,1000,20,0.511299077113782,0.388790981882688,-1.93695440798357,0.455618298639989
traingd,0,0.0628432,943,10,50,1.07195006342868,1.65494943065198,-0.223741311595216,-0.0244318944600999
traingd,0,0.2005552,943,50,50,0.767148466247384,0.85856747723239,-1.49575374226132,-0.0533225108979852
traingd,0,0.355383,943,100,50,0.857020789667371,0.995923637510141,-0.900594053051033,0.135708821465323
traingd,0,0.673834,943,200,50,0.630720089515426,0.610612556187175,-0.753599859097436,0.238359745219702
traingd,0,3.1901562,943,1000,50,0.471568782860898,0.34401755274627,-0.68584741634586,0.596339828954037
traingd,0,0.0610808,943,10,100,1.89097242269196,5.45685654565224,-0.227062050817709,-0.0221181933121555
traingd,0,0.1892182,943,50,100,0.809623213164478,1.05884499818068,-0.0455766622061766,0.138976676918104
traingd,0,0.3521954,943,100,100,0.695747029184154,0.820649603516015,-0.281525720541711,0.120099005395921
traingd,0,0.7668706,943,200,100,0.665419125507633,0.699226310700286,0.0387112472353709,0.210490305354735
